City,Lat,Long
Bruxelles,50.8503,4.3517
Ghent,51.0543,3.7174
Antwerp,51.2194,50.8503
Leuven,50.8798,4.7005
Charleroi,50.4108,4.4446
Namue,50.4674,4.872
Liege,50.6326,5.5797
Mons,50.4542,3.9567
