Code,Longitude,Latitude,Coordonnees
7020,3.962763,50.4901522,"50.4901522,3.962763"
7021,4.0453329,50.4643434,"50.4643434,4.0453329"
7022,3.960668,50.4283672,"50.4283672,3.960668"
7024,3.9438349,50.4193042,"50.4193042,3.9438349"
7030,4.012574,50.4366253,"50.4366253,4.012574"
7031,4.0389071,50.4312421,"50.4312421,4.0389071"
7032,3.9868957,50.4254505,"50.4254505,3.9868957"
7033,3.9206652,50.436171,"50.436171,3.9206652"
7034,4.0062232,50.4760289,"50.4760289,4.0062232"
7040,3.9168758,50.3922864,"50.3922864,3.9168758"
7041,3.9841693,50.3611541,"50.3611541,3.9841693"
7050,3.884409,50.53309,"50.53309,3.884409"
7060,4.0413076,50.6093445,"50.6093445,4.0413076"
7061,4.0031319,50.5130195,"50.5130195,4.0031319"
7062,4.1011662,50.5536883,"50.5536883,4.1011662"
7063,4.0029098,50.5683075,"50.5683075,4.0029098"
7070,4.0922224,50.473352,"50.473352,4.0922224"
7080,3.8905656,50.4087571,"50.4087571,3.8905656"
7090,4.1861019,50.5996119,"50.5996119,4.1861019"
7100,4.1604101,50.4525018,"50.4525018,4.1604101"
7110,4.1575303,50.4879863,"50.4879863,4.1575303"
7120,4.0975758,50.3976702,"50.3976702,4.0975758"
7130,4.1024947,50.429990599999996,"50.4299906,4.1024947"
7131,4.150981,50.4137808,"50.4137808,4.150981"
7133,4.2055425,50.3897538,"50.3897538,4.2055425"
7134,4.1458468,50.4364165,"50.4364165,4.1458468"
7140,4.2523562,50.4509843,"50.4509843,4.2523562"
7141,4.2542126,50.443039,"50.443039,4.2542126"
7160,4.2984261,50.4414944,"50.4414944,4.2984261"
7170,4.2358174,50.4738724,"50.4738724,4.2358174"
7180,4.2664609240834,50.52505545,"50.52505545,4.26646092408"
7181,4.199657690926,50.52567625,"50.52567625,4.19965769093"
7190,4.1752492,50.5696129,"50.5696129,4.1752492"
7191,4.1785518,50.5703563,"50.5703563,4.1785518"
7300,3.7960902,50.4331253,"50.4331253,3.7960902"
7301,3.8276077,50.4337613,"50.4337613,3.8276077"
7320,3.6504677,50.475502,"50.475502,3.6504677"
7321,3.6611754,50.5011724,"50.5011724,3.6611754"
7322,3.7107354,50.4611322,"50.4611322,3.7107354"
7330,3.8214781396442,50.448359502766,"50.4483595028,3.82147813964"
7331,3.8327577,50.4814352,"50.4814352,3.8327577"
7332,3.7881267,50.5060592,"50.5060592,3.7881267"
7333,3.8081735,50.4673149,"50.4673149,3.8081735"
7334,3.7650049,50.4823864,"50.4823864,3.7650049"
7340,3.8513958,50.4056635,"50.4056635,3.8513958"
7350,3.703666,50.436001,"50.436001,3.703666"
7370,3.8051335,50.3729779,"50.3729779,3.8051335"
7380,3.6819263,50.4084818,"50.4084818,3.6819263"
7382,3.7177788,50.3830135,"50.3830135,3.7177788"
7387,3.776059,50.3647711,"50.3647711,3.776059"
7390,3.8466719,50.445727,"50.445727,3.8466719"
7500,3.3878259,50.60566,"50.60566,3.3878259"
7501,3.3492864,50.6049549,"50.6049549,3.3492864"
7502,3.3038112,50.5743852,"50.5743852,3.3038112"
7503,3.3569842,50.6195489,"50.6195489,3.3569842"
7504,3.3287795,50.57792,"50.57792,3.3287795"
7506,3.350025,50.573981,"50.573981,3.350025"
7520,3.335337,50.651295,"50.651295,3.335337"
7521,3.4212542,50.5885516,"50.5885516,3.4212542"
7522,3.2931148,50.5982618,"50.5982618,3.2931148"
7530,3.4834445,50.5924891,"50.5924891,3.4834445"
7531,3.4655917,50.6156953,"50.6156953,3.4655917"
7532,3.5028761,50.6217774,"50.6217774,3.5028761"
7533,3.5102508,50.6349458,"50.6349458,3.5102508"
7534,3.5483951,50.6169646,"50.6169646,3.5483951"
7536,3.426172,50.589889,"50.589889,3.426172"
7538,3.5017888,50.5683976,"50.5683976,3.5017888"
7540,3.5120068,50.6501425,"50.6501425,3.5120068"
7542,3.4000171,50.6554352,"50.6554352,3.4000171"
7543,3.445164,50.6530409,"50.6530409,3.445164"
7548,3.4267528,50.6096187,"50.6096187,3.4267528"
7600,3.5908864,50.5097897,"50.5097897,3.5908864"
7601,3.5870901,50.529165,"50.529165,3.5870901"
7602,3.59458,50.5426384,"50.5426384,3.59458"
7603,3.607483,50.4976184,"50.4976184,3.607483"
7604,3.552247,50.561586,"50.561586,3.552247"
7608,3.533035,50.508665,"50.508665,3.533035"
7610,3.3039251,50.5557678,"50.5557678,3.3039251"
